,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,CIFAR10,128,DATA PROCESSING,0.0003895519766956568,9.512144606560469e-05
1,CIFAR10,256,WRN16-4,0.0005544119048863649,0.0001261979341506958
2,CIFAR10,128,ResNet-20,0.0005229096859693527,0.00011911510955542326
3,64x64x3,64,DATA PROCESSING,0.00013360742013901472,0.00012232514563947916
4,MNIST,256,VGG11,0.00022908893879503012,5.6606950238347054e-05
5,CIFAR10,256,ResNet-56,0.0005931101040914655,0.00012948736548423767
6,CIFAR10,64,ResNet-56,0.000983083271421492,0.0003559126053005457
7,MNIST,256,ResNet-20,0.00019398587755858898,4.9268826842308044e-05
8,MNIST,256,DATA PROCESSING,0.0001198591198772192,2.8298934921622276e-05
9,MNIST,64,ResNet-20,0.0004683079896494746,0.00015794369392096996
10,MNIST,256,WRN16-8,0.0005664663622155786,0.00015658733900636435
11,MNIST,64,ResNet-56,0.0007839625468477607,0.0002832873724400997
12,64x64x3,32,ResNet-20,0.0007927986601042369,0.0004091913264895242
13,MNIST,128,VGG16,0.00027970049995929003,8.401356171816587e-05
14,CIFAR10,256,WRN16-8,0.0008708426030352712,0.0002432260662317276
15,MNIST,64,VGG11,0.00032785371877253056,0.00012212106958031654
16,64x64x3,256,WRN16-4,0.0008254834683611989,0.0003080590395256877
17,64x64x3,32,VGG16,0.0008063465356826782,0.00038709184007039145
18,CIFAR10,128,WRN16-4,0.0006691780872642994,0.00017491437029093504
19,64x64x3,256,ResNet-56,0.0008185702608898282,0.0002602427266538143
20,64x64x3,256,WRN16-8,0.0019504304509609938,0.0006491873646155
21,64x64x3,64,ResNet-56,0.0010246682213619351,0.0003882735036313534
22,CIFAR10,32,DATA PROCESSING,0.00043747928880509876,0.00014803830593351333
23,CIFAR10,64,VGG16,0.000674601411446929,0.0001846610102802515
24,MNIST,32,ResNet-56,0.001393301146371024,0.0005413881606525845
25,MNIST,128,WRN16-8,0.0006189296254888177,0.00019212078768759966
26,64x64x3,128,VGG16,0.0005458910018205643,0.0002554900711402297
27,64x64x3,128,WRN16-8,0.0019905739463865757,0.0006795636145398021
