,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,MNIST,128,WRN16-8,0.0004296752158552408,4.173221532255411e-05
1,MNIST,64,ResNet-56,0.00030039437115192413,8.900766260921955e-05
2,64x64x3,256,ResNet-56,0.0004784859484061599,8.437223732471466e-05
3,MNIST,128,WRN16-4,0.00020494044292718172,3.271724563091993e-05
4,MNIST,32,VGG16,0.0003548453724573529,8.476158929249597e-05
5,64x64x3,256,VGG11,0.00022234476637095213,4.8250542022287846e-05
6,CIFAR10,128,ResNet-56,0.0003527813823893666,5.950336344540119e-05
7,CIFAR10,256,WRN16-4,0.00032964826095849276,3.677071072161198e-05
8,CIFAR10,64,DATA PROCESSING,0.000202460796572268,3.36221419274807e-05
9,CIFAR10,32,DATA PROCESSING,0.00023452310808121213,5.0674591745649066e-05
10,64x64x3,64,VGG16,0.0004700522404164076,7.758382707834244e-05
11,MNIST,32,WRN16-4,0.0003143118487464057,8.920296317055112e-05
12,CIFAR10,256,DATA PROCESSING,0.00018403457943350077,2.1896674297749996e-05
13,MNIST,256,DATA PROCESSING,6.191781722009182e-05,1.3687997125089169e-05
14,CIFAR10,128,VGG11,0.0002871719188988209,3.598898183554411e-05
15,CIFAR10,64,VGG16,0.0004031317075714469,5.9093814343214035e-05
16,CIFAR10,128,ResNet-20,0.00025383499450981617,4.226446617394686e-05
17,64x64x3,32,WRN16-8,0.0017208012323530893,0.00017697860797246298
18,64x64x3,64,DATA PROCESSING,4.10021748393774e-05,3.990798722952604e-05
19,CIFAR10,32,WRN16-8,0.0007731992573965163,0.00010718216025640094
20,64x64x3,64,ResNet-20,0.0002495947992429137,7.93760409578681e-05
21,64x64x3,32,DATA PROCESSING,5.55480992983258e-05,5.399010011128017e-05
22,CIFAR10,128,DATA PROCESSING,0.00018940307199954987,2.582860179245472e-05
23,64x64x3,128,ResNet-20,0.00021816103253513575,6.38181809335947e-05
24,CIFAR10,128,WRN16-4,0.0003617203328758478,4.59704315289855e-05
25,64x64x3,128,WRN16-8,0.0016157382633537054,0.000122333993203938
26,CIFAR10,64,WRN16-4,0.00039999978616833687,6.0551450587809086e-05
27,CIFAR10,32,WRN16-4,0.00047774742993097455,0.00010166731145646836
28,64x64x3,64,WRN16-4,0.0006135905859991908,0.00010150228627026081
29,64x64x3,32,VGG16,0.0005542984794056605,0.0001072668366962009
30,CIFAR10,128,WRN16-8,0.000627229455858469,5.585211329162121e-05
31,64x64x3,32,VGG11,0.00034530614576642473,9.052916651680356e-05
32,64x64x3,256,DATA PROCESSING,2.891442272812128e-05,2.8346432372927666e-05
33,MNIST,64,WRN16-8,0.000469389371573925,5.8241887018084526e-05
34,MNIST,64,VGG11,0.00019219762180000544,3.959960304200649e-05
35,64x64x3,128,VGG11,0.00024443655274808407,5.4487609304487705e-05
36,CIFAR10,64,WRN16-8,0.0006742966361343861,7.241207640618086e-05
37,64x64x3,256,VGG16,0.0003969186218455434,5.384907126426697e-05
38,CIFAR10,256,ResNet-56,0.00031491892877966166,4.350359085947275e-05
39,64x64x3,256,WRN16-4,0.0005673667183145881,7.534434553235769e-05
40,MNIST,128,DATA PROCESSING,6.261852104216814e-05,1.658347900956869e-05
41,64x64x3,128,DATA PROCESSING,3.185367677360773e-05,3.297650255262852e-05
42,MNIST,64,WRN16-4,0.00024528801441192627,5.111284554004669e-05
43,64x64x3,256,WRN16-8,0.0016343164024874568,0.00011510506737977266
44,MNIST,128,VGG16,0.0002057170495390892,2.8323964215815067e-05
45,CIFAR10,128,VGG16,0.00034625071566551924,4.023651126772165e-05
46,MNIST,256,VGG11,0.00012181641068309546,1.7943093553185463e-05
47,64x64x3,256,ResNet-20,0.00019738590344786644,5.440565291792154e-05
48,MNIST,256,WRN16-4,0.00018388114403933287,2.4563982151448727e-05
49,CIFAR10,32,ResNet-20,0.00040432042072689723,0.00011235345450658647
50,CIFAR10,32,ResNet-56,0.000646772129195077,0.00017985784345202975
51,64x64x3,32,WRN16-4,0.0006752920056146289,0.0001330189998187716
52,64x64x3,128,ResNet-56,0.000512952683493495,9.942194446921349e-05
53,MNIST,256,ResNet-20,0.00010475923772901297,2.0667328499257565e-05
54,MNIST,64,ResNet-20,0.00016937090549618006,5.616166163235903e-05
55,MNIST,64,VGG16,0.00026116438675671816,4.9146474339067936e-05
56,MNIST,128,ResNet-56,0.0002090666675940156,5.188211798667908e-05
57,64x64x3,64,VGG11,0.00028367480263113976,6.981240585446358e-05
58,MNIST,32,DATA PROCESSING,8.975986450437516e-05,4.3143237393999854e-05
59,64x64x3,64,WRN16-8,0.0016580295050516725,0.00014175719115883112
60,CIFAR10,256,VGG11,0.00024943985044956207,2.9055285267531872e-05
