,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,MNIST,256,ResNet-20,0.0009208777919411659,0.00015518919099122286
1,CIFAR10,32,WRN16-4,0.004760005289600009,0.0012760462742003183
2,64x64x3,32,ResNet-20,0.005442298239185696,0.0009335948834343562
3,64x64x3,32,ResNet-56,0.016141339781738463,0.003313076283250536
4,64x64x3,128,ResNet-20,0.0060290677938610315,0.0012970621464774013
5,64x64x3,32,VGG16,0.0014688607955735827,0.0005238429894523015
6,MNIST,256,VGG11,0.00020866526756435633,5.736062303185463e-05
7,CIFAR10,128,ResNet-20,0.00042152171954512596,9.595812298357487e-05
8,64x64x3,32,WRN16-8,0.0041332632776290654,0.001277744888313233
9,64x64x3,64,WRN16-4,0.0016225905856117606,0.0005080585833638906
10,MNIST,32,WRN16-4,0.0005563348531723022,0.00019719167834236507
11,64x64x3,64,WRN16-8,0.003893647459335625,0.0011814759345725179
12,64x64x3,128,VGG16,0.0009181631030514836,0.0003046134952455759
13,MNIST,32,WRN16-8,0.0012910317570444137,0.0003694852902775719
14,CIFAR10,64,VGG11,0.00044701702427119017,0.00012861890718340874
15,64x64x3,64,DATA PROCESSING,9.102653712034225e-05,9.599258191883564e-05
16,MNIST,128,ResNet-56,0.0004293443635106087,0.00012559862807393074
17,MNIST,32,ResNet-56,0.0008304184154858665,0.00029893810786898176
18,MNIST,256,VGG16,0.0002845183480530977,7.776159327477217e-05
19,64x64x3,64,ResNet-20,0.0006403320003300905,0.00021476566325873137
20,CIFAR10,32,ResNet-20,0.0005361861179745387,0.00017464373792920793
21,MNIST,64,WRN16-4,0.00045727123506367207,0.00015113153494894505
22,CIFAR10,32,VGG11,0.0006272151829704405,0.00019670407923441085
23,MNIST,64,ResNet-56,0.00047812156844884157,0.0001415042206645012
24,MNIST,64,ResNet-20,0.0002442924305796623,8.394173346459866e-05
25,CIFAR10,256,DATA PROCESSING,0.0002105893800035119,4.7783018089830875e-05
26,64x64x3,32,VGG11,0.0007791003537556482,0.00029286777689343407
27,64x64x3,64,VGG11,0.0005669561214745045,0.00021286902483552694
28,64x64x3,64,ResNet-56,0.0016506564570590854,0.0004469540435820818
29,CIFAR10,128,ResNet-56,0.0006812120554968715,0.0001396785955876112
30,MNIST,128,WRN16-4,0.00044443446677178144,0.00012119230814278126
31,CIFAR10,256,VGG16,0.0004734023241326213,0.00011048151645809412
32,64x64x3,64,VGG16,0.0010073890443891287,0.0003355214139446616
33,CIFAR10,256,WRN16-4,0.0006372834322974086,0.00014811940491199493
34,CIFAR10,64,VGG16,0.0006163949146866798,0.00017494254279881716
35,64x64x3,256,WRN16-4,0.0015957446303218603,0.00047165865544229746
36,CIFAR10,32,DATA PROCESSING,0.0002852159123572092,0.00011724470153687493
37,CIFAR10,64,WRN16-4,0.0006686943816021085,0.00017913023475557566
