,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,64x64x3,256,VGG16,0.0005798769416287541,0.00018311792518943548
1,CIFAR10,128,ResNet-56,0.0004349040100350976,0.00010681909043341875
2,MNIST,256,ResNet-20,0.0001220785779878497,3.0520022846758366e-05
3,CIFAR10,32,WRN16-4,0.0005115669161554366,0.00016277176993233816
4,64x64x3,128,DATA PROCESSING,4.577985964715481e-05,4.577951040118933e-05
5,MNIST,32,DATA PROCESSING,8.526136950841026e-05,4.65061692964463e-05
6,64x64x3,32,WRN16-4,0.0012091583912334745,0.00038755034643506246
7,MNIST,256,DATA PROCESSING,5.340948700904846e-05,1.5259720385074615e-05
8,CIFAR10,64,ResNet-56,0.0005035742651671171,0.00014496792573481798
9,MNIST,32,ResNet-56,0.0006433338636443729,0.0001937752914807153
10,64x64x3,32,VGG11,0.0004573100143008762,0.00018602396760668074
11,64x64x3,256,WRN16-4,0.00108344538602978,0.00031282147392630577
12,CIFAR10,256,VGG11,0.00022221554536372423,5.340960342437029e-05
13,64x64x3,128,VGG16,0.0005951315397396684,0.0001983776455745101
14,MNIST,32,ResNet-20,0.0003022899230321248,0.00010076318941419087
15,MNIST,128,WRN16-4,0.00026704673655331135,7.629930041730404e-05
16,MNIST,256,ResNet-56,0.0002670461544767022,6.86693238094449e-05
17,CIFAR10,32,WRN16-8,0.000968877166982681,0.0002790359514100211
18,MNIST,128,DATA PROCESSING,5.3409370593726635e-05,2.2889464162290096e-05
19,CIFAR10,256,VGG16,0.00029835232999175787,7.629883475601673e-05
20,MNIST,32,WRN16-4,0.0003797997321401324,0.00013176718401530432
21,CIFAR10,128,VGG16,0.0003433452220633626,9.155867155641317e-05
22,64x64x3,256,DATA PROCESSING,4.577951040118933e-05,4.5779161155223846e-05
23,CIFAR10,256,WRN16-8,0.0007706205360591412,0.00019837426953017712
24,CIFAR10,128,VGG11,0.00025178748182952404,6.103958003222942e-05
25,64x64x3,32,DATA PROCESSING,7.751028216074383e-05,7.751051868711199e-05
26,CIFAR10,32,VGG11,0.00036542022985125346,0.00011626500931997148
27,MNIST,64,ResNet-20,0.00019074790179729462,5.340948700904846e-05
28,CIFAR10,32,VGG16,0.0005115672709449889,0.0001550198547423832
29,64x64x3,32,ResNet-20,0.0004883141271651737,0.00017827358983811878
30,CIFAR10,128,WRN16-4,0.0004196448717266321,0.00010681874118745327
31,MNIST,32,VGG11,0.0002635344862937927,9.301198380334037e-05
32,MNIST,64,DATA PROCESSING,6.10394636169076e-05,3.0519673600792885e-05
33,64x64x3,128,VGG11,0.00032045552507042885,0.00012207904364913702
34,MNIST,64,VGG11,0.00019074766896665096,6.103899795562029e-05
35,64x64x3,64,ResNet-20,0.0004349043592810631,0.0001525982515886426
36,MNIST,64,VGG16,0.00028230680618435144,8.392869494855404e-05
37,CIFAR10,128,ResNet-20,0.00025178759824484587,6.103876512497663e-05
38,CIFAR10,32,ResNet-20,0.0003518579261643546,0.00012401633319400606
39,MNIST,128,ResNet-20,0.00014496792573481798,4.577892832458019e-05
40,64x64x3,256,VGG11,0.0002975661773234606,0.00011444883421063423
41,MNIST,256,WRN16-4,0.00024415692314505577,6.86693238094449e-05
42,CIFAR10,64,WRN16-8,0.0008011399768292904,0.00022889731917530298
43,64x64x3,256,ResNet-56,0.0011444857809692621,0.00038912519812583923
44,CIFAR10,64,DATA PROCESSING,0.00016022799536585808,4.577904473990202e-05
45,MNIST,256,VGG16,0.0001754877157509327,4.5780674554407597e-05
46,MNIST,128,ResNet-56,0.0003280859673395753,7.629918400198221e-05
47,64x64x3,64,VGG16,0.0006638016784563661,0.00022126792464405298
48,MNIST,64,WRN16-8,0.0006377809913828969,0.00019223836716264486
49,MNIST,128,VGG11,0.0001373386476188898,4.5778811909258366e-05
50,64x64x3,32,ResNet-56,0.0012169094785811408,0.0003565459970443968
51,CIFAR10,64,VGG11,0.0002975662937387824,8.392892777919769e-05
52,64x64x3,64,VGG11,0.0003662355011329055,0.00014496827498078346
53,CIFAR10,64,VGG16,0.00040438491851091385,0.00011444778647273779
54,MNIST,32,WRN16-8,0.0007595992277538966,0.00023253060995586335
