,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,CIFAR10,1024,VGG11,0.00032045249827206135,7.630046457052231e-05
1,MNIST,32,VGG16,0.0005188323557376862,0.00015259860083460808
2,MNIST,32,VGG11,0.00039675459265708923,0.00012207822874188423
3,CIFAR10,1024,WRN16-4,0.0005035733338445425,0.00012207729741930962
4,CIFAR10,512,VGG11,0.0005493517965078354,0.000122076366096735
5,CIFAR10,1024,ResNet-56,0.00047346088103950024,0.00010681035928428173
6,MNIST,128,VGG11,0.0002746758982539177,6.104074418544769e-05
7,MNIST,256,ResNet-56,0.00039675692096352577,9.156111627817154e-05
8,CIFAR10,32,DATA PROCESSING,0.0005493503995239735,0.00012208241969347
9,CIFAR10,128,WRN16-4,0.00076298788189888,0.00018311850726604462
10,MNIST,64,VGG11,0.00030519720166921616,9.155832231044769e-05
11,CIFAR10,128,ResNet-56,0.0007629906758666039,0.00018310407176613808
12,MNIST,128,WRN16-4,0.0003967517986893654,0.00012206379324197769
13,CIFAR10,32,WRN16-4,0.0008545499294996262,0.00024415692314505577
14,MNIST,512,VGG11,0.0002136528491973877,6.102630868554115e-05
15,MNIST,32,DATA PROCESSING,0.00021363655105233192,6.1041209846735e-05
16,CIFAR10,512,DATA PROCESSING,0.00048831757158041,0.00012205168604850769
17,CIFAR10,128,DATA PROCESSING,0.0004883143119513988,0.00012207776308059692
18,CIFAR10,64,WRN16-4,0.0007630069740116596,0.00018311897292733192
19,CIFAR10,512,WRN16-4,0.0007324717007577419,0.00018310174345970154
20,CIFAR10,32,ResNet-56,0.001220783218741417,0.0002441592514514923
21,CIFAR10,128,VGG16,0.0006714309565722942,0.0001526004634797573
22,CIFAR10,1024,VGG16,0.0003967548254877329,9.155832231044769e-05
23,MNIST,32,WRN16-4,0.0004883166402578354,0.00018311478197574615
24,MNIST,64,DATA PROCESSING,0.00021363375708460808,6.103608757257462e-05
25,MNIST,1024,ResNet-56,0.00027467659674584866,7.62909185141325e-05
26,MNIST,512,VGG16,0.00027469079941511154,6.104167550802231e-05
27,CIFAR10,512,VGG16,0.0006409063935279846,0.00015259720385074615
28,MNIST,512,DATA PROCESSING,0.0001831171102821827,3.0520372092723846e-05
29,CIFAR10,256,ResNet-56,0.0007019662298262119,0.0001525995321571827
30,CIFAR10,32,VGG16,0.0008545499294996262,0.00021363608539104462
31,MNIST,1024,VGG11,0.00013733888044953346,3.0522700399160385e-05
32,CIFAR10,128,VGG11,0.0005798730999231339,0.00015259534120559692
33,MNIST,512,WRN16-4,0.0003662179224193096,9.155971929430962e-05
34,CIFAR10,64,DATA PROCESSING,0.0004883138462901115,0.00012207822874188423
35,CIFAR10,256,WRN16-4,0.0007324689067900181,0.00018310314044356346
36,MNIST,1024,DATA PROCESSING,9.155785664916039e-05,3.051105886697769e-05
37,MNIST,64,ResNet-56,0.0005798740312457085,0.00018311757594347
38,CIFAR10,256,VGG11,0.0005798730999231339,0.00012207729741930962
39,MNIST,64,VGG16,0.0003967536613345146,0.00012207869440317154
40,CIFAR10,1024,DATA PROCESSING,0.00025941524654626846,4.578218795359135e-05
41,CIFAR10,512,ResNet-56,0.0007019485346972942,0.00015259860083460808
42,MNIST,128,DATA PROCESSING,0.0001831180416047573,3.0522700399160385e-05
43,CIFAR10,256,DATA PROCESSING,0.0004883105866611004,0.000122076366096735
44,MNIST,1024,VGG16,0.00018373318016529083,4.57793939858675e-05
45,CIFAR10,64,VGG11,0.0006103925406932831,0.00015259860083460808
46,CIFAR10,64,VGG16,0.0007324707694351673,0.00018311850726604462
47,MNIST,512,ResNet-56,0.0003662519156932831,9.1546680778265e-05
48,CIFAR10,64,ResNet-56,0.0008545508608222008,0.00024415599182248116
49,MNIST,128,VGG16,0.0003357161767780781,9.1558787971735e-05
50,MNIST,1024,WRN16-4,0.0002743932418525219,6.153760477900505e-05
51,MNIST,64,WRN16-4,0.0004272758960723877,0.00012208009138703346
52,CIFAR10,32,VGG11,0.0007019503973424435,0.00018312083557248116
53,CIFAR10,256,VGG16,0.0006409091874957085,0.00012208148837089539
54,MNIST,256,VGG16,0.00030519068241119385,6.105378270149231e-05
55,MNIST,256,VGG11,0.0002441522665321827,6.1041209846735e-05
56,MNIST,128,ResNet-56,0.0004577925428748131,0.00012207869440317154
57,MNIST,32,ResNet-56,0.0009766286239027977,0.00030519673600792885
58,MNIST,256,DATA PROCESSING,0.00018311524763703346,3.0525028705596924e-05
59,MNIST,256,WRN16-4,0.00036623189225792885,9.156251326203346e-05
