,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,64x64x3,128,VGG16,0.0003774134675040841,0.00017314741853624582
1,MNIST,64,DATA PROCESSING,2.7387402951717377e-05,1.989875454455614e-05
2,64x64x3,64,VGG11,0.0002735884627327323,0.00012501480523496866
3,MNIST,128,ResNet-20,0.00011140969581902027,3.4227967262268066e-05
4,MNIST,256,ResNet-20,6.790237966924906e-05,1.6776728443801403e-05
5,CIFAR10,32,ResNet-56,0.0004176470258879283,0.00011019408702850342
6,CIFAR10,256,WRN16-4,0.00017108838073909283,6.209500133991241e-05
7,CIFAR10,64,VGG11,0.0001318218419328332,4.7896173782646656e-05
8,64x64x3,256,DATA PROCESSING,1.6924459487199783e-05,1.311860978603363e-05
9,CIFAR10,128,VGG11,0.00010507064871490002,4.361500032246113e-05
10,64x64x3,32,WRN16-8,0.0016278669474616883,0.0007133505174091884
11,MNIST,64,VGG11,0.0001525646075606346,5.400471854954958e-05
12,CIFAR10,64,VGG16,0.00022767216432839632,8.214672561734915e-05
13,CIFAR10,64,DATA PROCESSING,3.153004217892885e-05,2.216233406215906e-05
14,MNIST,128,VGG11,8.92706448212266e-05,2.6744557544589043e-05
15,MNIST,64,VGG16,0.00019816053099930286,6.12249132245779e-05
16,CIFAR10,32,WRN16-8,0.0006787954341797601,0.00029495997088296074
17,CIFAR10,128,VGG16,0.00017003645189106464,6.054143887013197e-05
18,CIFAR10,128,WRN16-8,0.0004216873785480857,0.00019384827464818954
19,CIFAR10,32,VGG16,0.0004344997661454337,0.000144876776233552
20,MNIST,256,WRN16-4,0.00015205307863652706,6.310874596238136e-05
21,MNIST,32,VGG16,0.00043428866636185416,0.00011667940351698134
22,MNIST,64,WRN16-8,0.0004551077727228403,0.00019871618133038282
23,64x64x3,64,ResNet-56,0.0007143320981413126,0.0002622148022055626
24,64x64x3,256,WRN16-8,0.0013399296440184116,0.0005055579822510481
25,64x64x3,64,WRN16-8,0.001453252276405692,0.000611263676546514
26,CIFAR10,128,WRN16-4,0.0002248272066935897,8.994049858301878e-05
27,64x64x3,128,WRN16-4,0.0006001918809488416,0.00022664933931082487
28,CIFAR10,64,ResNet-56,0.0003196487668901682,0.00015261129010468721
29,MNIST,256,VGG11,7.657671812921762e-05,2.2054649889469147e-05
30,64x64x3,256,WRN16-4,0.0005596795817837119,0.00019622896797955036
31,64x64x3,256,ResNet-20,0.00022940710186958313,8.431775495409966e-05
32,CIFAR10,32,DATA PROCESSING,4.955333849740407e-05,3.8586556911468506e-05
33,64x64x3,64,WRN16-4,0.0006779968971386552,0.000298422877676785
34,MNIST,128,ResNet-56,0.00021674612071365118,8.982804138213396e-05
35,CIFAR10,128,ResNet-20,0.00014613417442888021,3.587838727980852e-05
36,64x64x3,64,VGG16,0.0004732138477265835,0.00022422568872570992
37,CIFAR10,128,ResNet-56,0.00022888241801410913,8.731579873710871e-05
38,64x64x3,32,VGG11,0.000460773351646605,0.00014164819130821834
39,64x64x3,128,WRN16-8,0.001369187026284635,0.000536477891728282
40,MNIST,32,VGG11,0.00036935945824971274,8.011964105424427e-05
41,MNIST,64,ResNet-20,0.00024188985116779804,4.9357651732861996e-05
42,MNIST,128,WRN16-4,0.00019136653281748295,6.984313949942589e-05
43,MNIST,256,ResNet-56,0.00016944599337875843,6.128870882093906e-05
44,CIFAR10,64,WRN16-8,0.000517812673933804,0.0002538213739171624
45,64x64x3,128,ResNet-20,0.0002644358901306987,0.0001089985016733408
46,MNIST,256,WRN16-8,0.0003226804547011852,0.00012843834701925516
47,64x64x3,128,VGG11,0.00023529015015810728,0.00012120825704187155
48,CIFAR10,256,DATA PROCESSING,3.6593410186469555e-05,1.068832352757454e-05
49,MNIST,32,DATA PROCESSING,4.833250764816526e-05,3.8428202507987855e-05
50,MNIST,128,VGG16,0.00015045551117509604,4.85455384477973e-05
51,CIFAR10,32,VGG11,0.0003621736689219399,8.65096374163552e-05
52,64x64x3,128,ResNet-56,0.0005988405318930745,0.00019747228361666203
53,64x64x3,32,WRN16-4,0.0008351546194818285,0.00037381691592080254
54,MNIST,64,WRN16-4,0.0002723843790590763,7.57044181227684e-05
55,CIFAR10,64,WRN16-4,0.0002912504132837057,0.00012559874448925257
56,64x64x3,64,DATA PROCESSING,2.076779492199421e-05,2.114416565746069e-05
57,MNIST,32,WRN16-8,0.0006123129574079362,0.0002667290114221119
58,64x64x3,256,ResNet-56,0.0005486280424520373,0.00015473412349820137
59,CIFAR10,256,WRN16-8,0.00037470925599336624,0.000155793153680861
60,MNIST,32,ResNet-20,0.0005216833854478503,0.00011290692620807224
61,CIFAR10,256,ResNet-56,0.00019733246881514788,6.401422433555126e-05
62,MNIST,256,DATA PROCESSING,1.5517696738243103e-05,6.947549991309643e-06
63,CIFAR10,256,ResNet-20,9.686488192528486e-05,3.068160731345415e-05
64,MNIST,256,VGG16,0.00011333415750414133,4.911900032311678e-05
65,MNIST,64,ResNet-56,0.00030127028003335,0.00014175742398947477
66,MNIST,32,WRN16-4,0.0004697277668922667,0.0001430847342052157
67,CIFAR10,256,VGG16,0.0001315015833824873,5.308561958372593e-05
68,CIFAR10,128,DATA PROCESSING,2.9658316634595394e-05,1.2362375855445862e-05
69,MNIST,32,ResNet-56,0.0005606179909100608,0.0002796276221199641
70,CIFAR10,64,ResNet-20,0.00024892203509807587,6.0984049923717976e-05
71,CIFAR10,32,ResNet-20,0.0004910752177238464,0.00011983844969007705
72,CIFAR10,32,WRN16-4,0.0005097278053798373,0.00016120348184827773
73,64x64x3,128,DATA PROCESSING,1.2332224287092686e-05,1.280452124774456e-05
74,64x64x3,32,ResNet-20,0.0005265324125214229,0.0001492246039330013
75,64x64x3,256,VGG11,0.00018824264407157898,9.812403004616499e-05
76,64x64x3,256,VGG16,0.0003241769736632705,0.0001404319191351533
77,MNIST,128,DATA PROCESSING,1.7943442799150944e-05,1.1339783668518066e-05
78,64x64x3,32,VGG16,0.0006402337125369481,0.0002796621549697149
79,64x64x3,32,ResNet-56,0.0008834275224852184,0.00035889860656526353
80,64x64x3,32,DATA PROCESSING,3.8629722973657035e-05,3.892881056619069e-05
81,CIFAR10,256,VGG11,9.307509753853083e-05,3.780482802540064e-05
82,MNIST,128,WRN16-8,0.0003610472194850445,0.0001596930669620633
83,64x64x3,64,ResNet-20,0.0003388631157577038,9.158090688288212e-05
