,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,CIFAR10,128,ResNet-56,0.0012829340994358063,0.00027230754494667053
1,MNIST,1024,WRN16-4,0.0004546211566776037,0.00010776659473776817
2,CIFAR10,256,VGG16,0.0010372251272201538,0.00023041991516947746
3,CIFAR10,64,ResNet-56,0.0014728084206581116,0.00036102719604969025
4,MNIST,64,DATA PROCESSING,0.00031245453283190727,9.311176836490631e-05
5,MNIST,64,VGG11,0.0004833056591451168,0.00012835487723350525
6,MNIST,64,ResNet-56,0.000989105086773634,0.0002788808196783066
7,CIFAR10,256,ResNet-56,0.0011515915393829346,0.000224272720515728
8,MNIST,512,VGG11,0.00036547472700476646,8.205650374293327e-05
9,MNIST,32,VGG11,0.0006537358276546001,0.00020965561270713806
10,MNIST,128,WRN16-4,0.0005863257683813572,0.00015466054901480675
11,CIFAR10,32,DATA PROCESSING,0.0008653695695102215,0.0002290746197104454
12,CIFAR10,512,DATA PROCESSING,0.0007278998382389545,0.0001491401344537735
13,MNIST,64,VGG16,0.0006617819890379906,0.00018186774104833603
14,CIFAR10,512,VGG16,0.0009649991989135742,0.0002006753347814083
15,MNIST,128,DATA PROCESSING,0.00026620877906680107,6.395997479557991e-05
16,CIFAR10,256,WRN16-4,0.0010935519821941853,0.000239470973610878
17,CIFAR10,128,WRN16-4,0.0010709566995501518,0.0002640187740325928
18,CIFAR10,256,DATA PROCESSING,0.0007686596363782883,0.00015826616436243057
19,MNIST,256,VGG11,0.00039116013795137405,8.813105523586273e-05
20,MNIST,256,VGG16,0.00044978223741054535,0.00011017033830285072
21,MNIST,512,WRN16-4,0.0005750330165028572,0.00013395864516496658
22,MNIST,32,VGG16,0.00088869733735919,0.00026209093630313873
23,CIFAR10,64,WRN16-4,0.0011411313898861408,0.0002997969277203083
24,CIFAR10,1024,DATA PROCESSING,0.00040625594556331635,7.947045378386974e-05
25,MNIST,64,WRN16-4,0.0006664213724434376,0.0001944713294506073
26,MNIST,256,ResNet-56,0.0005830992013216019,0.0001289770007133484
27,CIFAR10,1024,WRN16-4,0.0007881345227360725,0.00017170794308185577
28,CIFAR10,32,VGG16,0.001409097108989954,0.00035267556086182594
29,CIFAR10,512,ResNet-56,0.0011320048943161964,0.0002190382219851017
30,MNIST,32,DATA PROCESSING,0.0003298982046544552,0.00011540856212377548
31,MNIST,128,ResNet-56,0.0006425087340176105,0.00015645520761609077
32,CIFAR10,1024,VGG16,0.0007072254084050655,0.0001468351110816002
33,CIFAR10,256,VGG11,0.0009405417367815971,0.00021731853485107422
34,CIFAR10,1024,ResNet-56,0.0007681404240429401,0.0001471424475312233
35,CIFAR10,512,VGG11,0.0009140498004853725,0.0001835804432630539
36,MNIST,1024,VGG16,0.00030369474552571774,7.230928167700768e-05
37,CIFAR10,64,VGG11,0.0010047010146081448,0.00023600365966558456
38,CIFAR10,128,VGG11,0.0009277528151869774,0.0001973235048353672
39,CIFAR10,64,DATA PROCESSING,0.0008457046933472157,0.00019726809114217758
40,MNIST,32,ResNet-56,0.0016973069868981838,0.0005039446987211704
41,CIFAR10,32,WRN16-4,0.001410189550369978,0.0003625350072979927
42,CIFAR10,64,VGG16,0.0012703901156783104,0.0003249156288802624
43,MNIST,128,VGG11,0.0003970703110098839,9.737350046634674e-05
44,MNIST,1024,VGG11,0.00021780910901725292,5.152076482772827e-05
45,CIFAR10,512,WRN16-4,0.0011350121349096298,0.00025593629106879234
46,CIFAR10,1024,VGG11,0.0005195951089262962,0.00012207869440317154
47,MNIST,1024,ResNet-56,0.00040676072239875793,8.789123967289925e-05
48,MNIST,512,DATA PROCESSING,0.0002422030083835125,4.8829708248376846e-05
49,MNIST,512,ResNet-56,0.0005000955425202847,0.00011870777234435081
50,MNIST,128,VGG16,0.0005361605435609818,0.0001386716030538082
51,MNIST,512,VGG16,0.0004276325926184654,9.570969268679619e-05
52,CIFAR10,32,ResNet-56,0.0019087386317551136,0.0005694003775715828
53,MNIST,1024,DATA PROCESSING,0.00012988410890102386,2.636830322444439e-05
54,MNIST,256,DATA PROCESSING,0.00025586364790797234,5.468539893627167e-05
55,MNIST,256,WRN16-4,0.0005645370110869408,0.0001384178176522255
56,CIFAR10,128,VGG16,0.001081021036952734,0.0002520349808037281
57,MNIST,32,WRN16-4,0.0007303310558199883,0.00023187370970845222
58,CIFAR10,32,VGG11,0.0011566425673663616,0.00029068486765027046
59,CIFAR10,128,DATA PROCESSING,0.0007676673121750355,0.00016015861183404922
